Model,Price,Spec
"realme Narzo 60 pro 5G (?Cosmic Black, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme Narzo 60 Pro 5G (Mars orange, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme Narzo 50 (Speed Black, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 50i Prime (Dark Blue, 32 GB)","₹32,999",3 GB RAM | 32 GB ROM
"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme C35 (Glowing Black, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme Narzo 50 (Speed Blue, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme GT 5G (Dashing Silver, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme Narzo N53 (Feather Black, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme Narzo N53 (Feather Gold, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM
"realme 9i 5G (Rocking Black, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme C33 (Aqua Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme C35 (Glowing Black, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme C33 2023 (Night Sea, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme C33 (Night Sea, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme Narzo 20A (Victory Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 3i (Diamond Blue, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C20 (Cool Grey, 32 GB)","₹32,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C20 (Cool Blue, 32 GB)","₹32,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 6 (Comet Blue, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme Narzo 50A (Oxygen Blue, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3T (Drifting White, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM
"realme GT Neo 3T (Drifting White, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM
"realme Narzo 50A (Oxygen Green, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme Narzo 50A (Oxygen Green, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3T (Shade Black, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM
"realme Narzo 20 Pro (Black Ninja, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
